adjudication_id,batch_id,mipvu_id,document_id,sentence_id,lexical_unit,coder_a_decision,coder_b_decision,disagreement_category,adjudicated_decision,adjudication_status,rationale,updated,linked_codebook_change
lincoln-reliability-v1-adj-043,lincoln-reliability-v1,lincoln-lyceum-address_s01_p04_s06_lu043,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s06,transmit,mipvu_indirect,uncertain,metaphor_decision,mipvu_indirect,accepted,Adjudication follows the full-corpus Codex-assisted first-pass decision while preserving the second-pass disagreement for reliability reporting.,2026-06-15,
lincoln-reliability-v1-adj-047,lincoln-reliability-v1,lincoln-lyceum-address_s01_p04_s06_lu047,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s06,unprofaned,mipvu_indirect,uncertain,metaphor_decision,mipvu_indirect,accepted,Adjudication follows the full-corpus Codex-assisted first-pass decision while preserving the second-pass disagreement for reliability reporting.,2026-06-15,
lincoln-reliability-v1-adj-056,lincoln-reliability-v1,lincoln-lyceum-address_s01_p04_s06_lu056,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s06,undecayed,mipvu_indirect,uncertain,metaphor_decision,mipvu_indirect,accepted,Adjudication follows the full-corpus Codex-assisted first-pass decision while preserving the second-pass disagreement for reliability reporting.,2026-06-15,
lincoln-reliability-v1-adj-063,lincoln-reliability-v1,lincoln-lyceum-address_s01_p04_s06_lu063,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s06,untorn,mipvu_indirect,uncertain,metaphor_decision,mipvu_indirect,accepted,Adjudication follows the full-corpus Codex-assisted first-pass decision while preserving the second-pass disagreement for reliability reporting.,2026-06-15,
lincoln-reliability-v1-adj-132,lincoln-reliability-v1,lincoln-lyceum-address_s01_p11_s15_lu055,lincoln-lyceum-address,lincoln-lyceum-address_s01_p11_s15,forebodes,non_metaphor,uncertain,metaphor_decision,non_metaphor,accepted,Adjudication follows the full-corpus Codex-assisted first-pass decision while preserving the second-pass disagreement for reliability reporting.,2026-06-15,
lincoln-reliability-v1-adj-175,lincoln-reliability-v1,lincoln-lyceum-address_s01_p12_s01_lu008,lincoln-lyceum-address,lincoln-lyceum-address_s01_p12_s01,attached,non_metaphor,uncertain,metaphor_decision,non_metaphor,accepted,Adjudication follows the full-corpus Codex-assisted first-pass decision while preserving the second-pass disagreement for reliability reporting.,2026-06-15,
lincoln-reliability-v1-adj-235,lincoln-reliability-v1,lincoln-lyceum-address_s01_p12_s01_lu068,lincoln-lyceum-address,lincoln-lyceum-address_s01_p12_s01,tenure,non_metaphor,uncertain,metaphor_decision,non_metaphor,accepted,Adjudication follows the full-corpus Codex-assisted first-pass decision while preserving the second-pass disagreement for reliability reporting.,2026-06-15,
lincoln-reliability-v1-adj-238,lincoln-reliability-v1,lincoln-lyceum-address_s01_p12_s01_lu071,lincoln-lyceum-address,lincoln-lyceum-address_s01_p12_s01,caprice,non_metaphor,uncertain,metaphor_decision,non_metaphor,accepted,Adjudication follows the full-corpus Codex-assisted first-pass decision while preserving the second-pass disagreement for reliability reporting.,2026-06-15,
lincoln-reliability-v1-adj-243,lincoln-reliability-v1,lincoln-lyceum-address_s01_p12_s01_lu076,lincoln-lyceum-address,lincoln-lyceum-address_s01_p12_s01,alienation,non_metaphor,uncertain,metaphor_decision,non_metaphor,accepted,Adjudication follows the full-corpus Codex-assisted first-pass decision while preserving the second-pass disagreement for reliability reporting.,2026-06-15,
lincoln-reliability-v1-adj-246,lincoln-reliability-v1,lincoln-lyceum-address_s01_p12_s01_lu079,lincoln-lyceum-address,lincoln-lyceum-address_s01_p12_s01,affections,non_metaphor,uncertain,metaphor_decision,non_metaphor,accepted,Adjudication follows the full-corpus Codex-assisted first-pass decision while preserving the second-pass disagreement for reliability reporting.,2026-06-15,
lincoln-reliability-v1-adj-253,lincoln-reliability-v1,lincoln-lyceum-address_s01_p12_s01_lu086,lincoln-lyceum-address,lincoln-lyceum-address_s01_p12_s01,consequence,non_metaphor,uncertain,metaphor_decision,non_metaphor,accepted,Adjudication follows the full-corpus Codex-assisted first-pass decision while preserving the second-pass disagreement for reliability reporting.,2026-06-15,
lincoln-reliability-v1-adj-264,lincoln-reliability-v1,lincoln-lyceum-address_s01_p24_s05_lu002,lincoln-lyceum-address,lincoln-lyceum-address_s01_p24_s05,consequence,non_metaphor,uncertain,metaphor_decision,non_metaphor,accepted,Adjudication follows the full-corpus Codex-assisted first-pass decision while preserving the second-pass disagreement for reliability reporting.,2026-06-15,
lincoln-reliability-v1-adj-272,lincoln-reliability-v1,lincoln-lyceum-address_s01_p24_s05_lu010,lincoln-lyceum-address,lincoln-lyceum-address_s01_p24_s05,form,non_metaphor,uncertain,metaphor_decision,non_metaphor,accepted,Adjudication follows the full-corpus Codex-assisted first-pass decision while preserving the second-pass disagreement for reliability reporting.,2026-06-15,
lincoln-reliability-v1-adj-277,lincoln-reliability-v1,lincoln-lyceum-address_s01_p24_s05_lu015,lincoln-lyceum-address,lincoln-lyceum-address_s01_p24_s05,father,non_metaphor,uncertain,metaphor_decision,non_metaphor,accepted,Adjudication follows the full-corpus Codex-assisted first-pass decision while preserving the second-pass disagreement for reliability reporting.,2026-06-15,
lincoln-reliability-v1-adj-279,lincoln-reliability-v1,lincoln-lyceum-address_s01_p24_s05_lu017,lincoln-lyceum-address,lincoln-lyceum-address_s01_p24_s05,son,non_metaphor,uncertain,metaphor_decision,non_metaphor,accepted,Adjudication follows the full-corpus Codex-assisted first-pass decision while preserving the second-pass disagreement for reliability reporting.,2026-06-15,
lincoln-reliability-v1-adj-282,lincoln-reliability-v1,lincoln-lyceum-address_s01_p24_s05_lu020,lincoln-lyceum-address,lincoln-lyceum-address_s01_p24_s05,brother,non_metaphor,uncertain,metaphor_decision,non_metaphor,accepted,Adjudication follows the full-corpus Codex-assisted first-pass decision while preserving the second-pass disagreement for reliability reporting.,2026-06-15,
lincoln-reliability-v1-adj-309,lincoln-reliability-v1,lincoln-lyceum-address_s01_p24_s05_lu047,lincoln-lyceum-address,lincoln-lyceum-address_s01_p24_s05,scars,non_metaphor,uncertain,metaphor_decision,non_metaphor,accepted,Adjudication follows the full-corpus Codex-assisted first-pass decision while preserving the second-pass disagreement for reliability reporting.,2026-06-15,
lincoln-reliability-v1-adj-311,lincoln-reliability-v1,lincoln-lyceum-address_s01_p24_s05_lu049,lincoln-lyceum-address,lincoln-lyceum-address_s01_p24_s05,wounds,non_metaphor,uncertain,metaphor_decision,non_metaphor,accepted,Adjudication follows the full-corpus Codex-assisted first-pass decision while preserving the second-pass disagreement for reliability reporting.,2026-06-15,
lincoln-reliability-v1-adj-374,lincoln-reliability-v1,lincoln-gettysburg-address_s01_p04_s03_lu002,lincoln-gettysburg-address,lincoln-gettysburg-address_s01_p04_s03,world,mipvu_personification,uncertain,metaphor_decision,mipvu_personification,accepted,Adjudication follows the full-corpus Codex-assisted first-pass decision while preserving the second-pass disagreement for reliability reporting.,2026-06-15,
lincoln-reliability-v1-adj-377,lincoln-reliability-v1,lincoln-gettysburg-address_s01_p04_s03_lu005,lincoln-gettysburg-address,lincoln-gettysburg-address_s01_p04_s03,note,mipvu_personification,uncertain,metaphor_decision,mipvu_personification,accepted,Adjudication follows the full-corpus Codex-assisted first-pass decision while preserving the second-pass disagreement for reliability reporting.,2026-06-15,
