mapping_id,case_id,document_id,sentence_id,expression,source_domain_primary,source_domain_secondary,target_domain,conceptual_metaphor,cluster_id,confidence,mipvu_ids,rival_reading,mapping_status
lincoln-cmt-001,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s01,journal / account / running,debt_accounting,,history,HISTORY IS DEBT ACCOUNTING,lincoln-05-fathers-inheritance,0.82,lincoln-lyceum-address_s01_p04_s01_lu004;lincoln-lyceum-address_s01_p04_s01_lu017;lincoln-lyceum-address_s01_p04_s01_lu018,"Events under the sun are not literally a ledger, but the sentence frames history through accounting.",provisional
lincoln-cmt-002,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s04,mounting / stage / existence,theater_stage,,history,HISTORY IS THEATER STAGE,lincoln-05-fathers-inheritance,0.86,lincoln-lyceum-address_s01_p04_s04_lu003;lincoln-lyceum-address_s01_p04_s04_lu005;lincoln-lyceum-address_s01_p04_s04_lu007,Collective historical existence is explicitly framed as appearing on a stage.,provisional
lincoln-cmt-003,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p04_s06,uprear / edifice / transmit / unprofaned / undecayed / untorn,architecture_building,,government,GOVERNMENT IS ARCHITECTURE BUILDING,lincoln-01-body-organism,0.83,lincoln-lyceum-address_s01_p04_s06_lu023;lincoln-lyceum-address_s01_p04_s06_lu032;lincoln-lyceum-address_s01_p04_s06_lu043;lincoln-lyceum-address_s01_p04_s06_lu047;lincoln-lyceum-address_s01_p04_s06_lu056;lincoln-lyceum-address_s01_p04_s06_lu063,Political institutions are explicitly construed as a built edifice.,provisional
lincoln-cmt-004,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p05_s04,giant / step / crush / blow,body,,enemy,ENEMY IS BODY,lincoln-01-body-organism,0.9,lincoln-lyceum-address_s01_p05_s04_lu007;lincoln-lyceum-address_s01_p05_s04_lu009;lincoln-lyceum-address_s01_p05_s04_lu013;lincoln-lyceum-address_s01_p05_s04_lu017,An overseas army is personified as a giant capable of bodily attack.,provisional
lincoln-cmt-005,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p06_s02,spring,nature_organism,,political_order,POLITICAL ORDER IS NATURE ORGANISM,lincoln-01-body-organism,0.72,lincoln-lyceum-address_s01_p06_s02_lu010,Abstract danger or political actors are represented as emerging upward like growth.,provisional
lincoln-cmt-006,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p06_s03,author / finisher,birth_generation,,nation,NATION IS BIRTH GENERATION,lincoln-01-body-organism,0.78,lincoln-lyceum-address_s01_p06_s03_lu011;lincoln-lyceum-address_s01_p06_s03_lu013,Political destruction is framed through authorship and completion.,provisional
lincoln-cmt-007,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p06_s04,live / die / suicide,nature_organism,,nation,NATION IS NATURE ORGANISM,lincoln-01-body-organism,0.937,lincoln-lyceum-address_s01_p06_s04_lu008;lincoln-lyceum-address_s01_p06_s04_lu013;lincoln-lyceum-address_s01_p06_s04_lu015,"A nation is not a biological organism, but it is construed as capable of living.",provisional
lincoln-cmt-008,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p07_s02,wild / furious / sober,body,,political_identity,POLITICAL IDENTITY IS BODY,lincoln-01-body-organism,0.74,lincoln-lyceum-address_s01_p07_s02_lu018;lincoln-lyceum-address_s01_p07_s02_lu020;lincoln-lyceum-address_s01_p07_s02_lu026,Passions and judgment are abstract faculties but are treated as agents with temperaments.,provisional
lincoln-cmt-009,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p07_s05,creature,nature_organism,,political_order,POLITICAL ORDER IS NATURE ORGANISM,lincoln-01-body-organism,0.72,lincoln-lyceum-address_s01_p07_s05_lu033,A social phenomenon is treated as a creature with an origin.,provisional
lincoln-cmt-010,lincoln,lincoln-lyceum-address,lincoln-lyceum-address_s01_p07_s06,spring,nature_organism,,political_order,POLITICAL ORDER IS NATURE ORGANISM,lincoln-01-body-organism,0.72,lincoln-lyceum-address_s01_p07_s06_lu003,Abstract danger or political actors are represented as emerging upward like growth.,provisional
